Source,Target,Type,Weight,hashtags in tweet,tweet date (utc)
nurhaya79620042,ubay3782,Directed,1,,10/1/22 6:49
frantonga,giring_ganesha,Directed,1,,10/1/22 6:49
frantonga,agusyudhoyono,Directed,1,,10/1/22 6:49
sistephat,sbyudhoyono,Directed,1,,10/1/22 6:50
sistephat,agusyudhoyono,Directed,1,,10/1/22 6:50
kazuha_jian08,agusyudhoyono,Directed,1,mamawingko,10/1/22 6:50
kazuha_jian08,tokoaischatz,Directed,1,mamawingko,10/1/22 6:50
wsetiowibowo,agusyudhoyono,Directed,1,,10/1/22 6:53
wsetiowibowo,chusnulch__,Directed,1,,10/1/22 6:53
rijikguguk,candra4smara,Directed,1,,10/1/22 6:53
rijikguguk,agusyudhoyono,Directed,1,,10/1/22 6:53
rijikguguk,sbyudhoyono,Directed,1,,10/1/22 6:53
ruzli650002,dr_moeldoko,Directed,1,,10/1/22 6:54
ruzli650002,agusyudhoyono,Directed,1,,10/1/22 6:54
ruzli650002,chusnulch__,Directed,1,,10/1/22 6:54
ruzli650002,cutsarina5,Directed,1,,10/1/22 6:54
k3yong_nur,k3yong_nur,Directed,1,,10/1/22 6:57
aguskode,agusyudhoyono,Directed,1,,10/1/22 6:58
aguskode,paltiwest,Directed,1,,10/1/22 6:58
semetonnanangs,ahy_fansclub,Directed,1,,10/1/22 6:59
semetonnanangs,ahylombok2024,Directed,1,,10/1/22 6:59
semetonnanangs,pdntb_id,Directed,1,,10/1/22 6:59
semetonnanangs,pdemokrat,Directed,1,,10/1/22 6:59
semetonnanangs,agusyudhoyono,Directed,1,,10/1/22 6:59
yonosuy98140840,agusyudhoyono,Directed,1,,10/1/22 7:02
yonosuy98140840,tjhinfar,Directed,1,,10/1/22 7:02
eaemeng,agusyudhoyono,Directed,1,,10/1/22 7:03
eaemeng,paltiwest,Directed,1,,10/1/22 7:03
_ind1402_,saididu,Directed,1,,10/1/22 7:03
_ind1402_,sbyudhoyono,Directed,1,,10/1/22 7:03
_ind1402_,agusyudhoyono,Directed,1,,10/1/22 7:03
_ind1402_,prabowo,Directed,1,,10/1/22 7:03
_ind1402_,listyosigitp,Directed,1,,10/1/22 7:03
_ind1402_,ganjarpranowo,Directed,1,,10/1/22 7:03
_ind1402_,airlangga_hrt,Directed,1,,10/1/22 7:03
_ind1402_,jokowi,Directed,1,,10/1/22 7:03
_ind1402_,bumnbersatu,Directed,1,,10/1/22 7:03
sendangsedayu,agusyudho,Directed,1,,10/1/22 7:04
sendangsedayu,paltiwest,Directed,1,,10/1/22 7:04
wantolius,agusyudhoyono,Directed,1,,10/1/22 7:06
wantolius,chusnulch__,Directed,1,,10/1/22 7:06
virsi6,jokowi,Directed,1,,10/1/22 7:06
virsi6,agusyudhoyono,Directed,1,,10/1/22 7:06
virsi6,paltiwest,Directed,1,,10/1/22 7:06
harimauterakhi2,prabowo,Directed,1,,10/1/22 7:10
harimauterakhi2,listyosigitp,Directed,1,,10/1/22 7:10
harimauterakhi2,ganjarpranowo,Directed,1,,10/1/22 7:10
harimauterakhi2,airlangga_hrt,Directed,1,,10/1/22 7:10
harimauterakhi2,jokowi,Directed,1,,10/1/22 7:10
harimauterakhi2,bumnbersatu,Directed,1,,10/1/22 7:10
haryanto7304wae,ryorossi4689,Directed,1,,10/1/22 7:12
kanda_abb,agusyudhoyono,Directed,1,,10/1/22 7:15
kanda_abb,tjhinfar,Directed,1,,10/1/22 7:15
dedy70dk,agusyudhoyono,Directed,1,,10/1/22 7:15
dedy70dk,love_ag4ever__,Directed,1,,10/1/22 7:15
fine_a_lover,agusyudhoyono,Directed,1,,10/1/22 7:06
fine_a_lover,chusnulch__,Directed,1,,10/1/22 7:06
fine_a_lover,rheazhary,Directed,1,,10/1/22 7:06
rheazhary,fine_a_lover,Directed,2,,10/1/22 7:06
ferusiburian,agusyudhoyono,Directed,1,,10/1/22 7:18
ferusiburian,paltiwest,Directed,1,,10/1/22 7:18
gomarusbudiatn4,agusyudhoyono,Directed,1,,10/1/22 7:19
gomarusbudiatn4,paltiwest,Directed,1,,10/1/22 7:19
olaadonara,agusyudhoyono,Directed,1,,10/1/22 7:20
olaadonara,komnasham,Directed,1,,10/1/22 7:20
olaadonara,syarman59,Directed,1,,10/1/22 7:20
bangpoerslalu,agusyudho,Directed,1,,10/1/22 7:20
bangpoerslalu,paltiwest,Directed,1,,10/1/22 7:20
darmalikse,agusyudho,Directed,1,,10/1/22 7:21
darmalikse,paltiwest,Directed,1,,10/1/22 7:21
yupato,agusyudhoyono,Directed,1,,10/1/22 7:22
yupato,chusnulch__,Directed,1,,10/1/22 7:22
syanto9191,ubay3782,Directed,1,,10/1/22 7:24
orang2anbumi,suga33372220,Directed,1,,10/1/22 7:25
orang2anbumi,agusyudhoyono,Directed,2,,10/1/22 7:25
orang2anbumi,tatakujiyati,Directed,2,,10/1/22 7:25
orang2anbumi,nongnayara,Directed,1,,10/1/22 7:25
manroereinhard,agusyudhoyono,Directed,1,jgnseenaknyakoruptorlukaspermainkankpk,10/1/22 7:25
manroereinhard,paltiwest,Directed,1,jgnseenaknyakoruptorlukaspermainkankpk,10/1/22 7:25
chaterine_8,agusyudhoyono,Directed,1,,10/1/22 7:25
chaterine_8,tjhinfar,Directed,1,,10/1/22 7:25
savepapua01,agusyudhoyono,Directed,2,,10/1/22 7:27
savepapua01,chusnulch__,Directed,2,,10/1/22 7:27
savepapua01,achmadshafwan7,Directed,1,,10/1/22 7:26
rheazhary,ckjenni_5,Directed,2,,10/1/22 7:16
ckjenni_5,agusyudhoyono,Directed,3,,10/1/22 7:29
ckjenni_5,aniesbaswedan,Directed,3,,10/1/22 7:29
ckjenni_5,chusnulch__,Directed,3,,10/1/22 7:29
ckjenni_5,rheazhary,Directed,3,,10/1/22 7:29
misscrownn,agusyudho,Directed,1,,10/1/22 7:29
misscrownn,paltiwest,Directed,1,,10/1/22 7:29
dwinoviantoro1,agusyudho,Directed,1,,10/1/22 7:32
dwinoviantoro1,paltiwest,Directed,1,,10/1/22 7:32
otto2860,agusyudhoyono,Directed,2,,10/1/22 7:32
fajarmoenir,agusyudhoyono,Directed,1,,10/1/22 7:33
fajarmoenir,paltiwest,Directed,1,,10/1/22 7:33
fajarmoenir,rizieqdivist,Directed,1,,10/1/22 7:33
ichalsyams,agusyudhoyono,Directed,1,,10/1/22 7:33
ichalsyams,chusnulch__,Directed,1,,10/1/22 7:33
tyareksposa,kurawa,Directed,1,jahatbukan,10/1/22 7:33
tyareksposa,agusyudhoyono,Directed,1,jahatbukan,10/1/22 7:33
made_in_ina,agusyudhoyono,Directed,1,,10/1/22 7:34
made_in_ina,paltiwest,Directed,1,,10/1/22 7:34
awansetiawan88,agusyudhoyono,Directed,1,,10/1/22 7:35
awansetiawan88,chusnulch__,Directed,1,,10/1/22 7:35
rheazhary,jon_hehe,Directed,2,,10/1/22 7:05
binbin38306852,jon_hehe,Directed,1,,10/1/22 7:35
rheazhary,agusyudhoyono,Directed,6,,10/1/22 7:16
rheazhary,chusnulch__,Directed,6,,10/1/22 7:16
rheazhary,binbin38306852,Directed,2,,10/1/22 7:05
rheazhary,aniesbaswedan,Directed,2,,10/1/22 7:16
binbin38306852,rheazhary,Directed,1,,10/1/22 7:35
binbin38306852,agusyudhoyono,Directed,1,,10/1/22 7:35
binbin38306852,chusnulch__,Directed,1,,10/1/22 7:35
timhtb,gerindra,Directed,1,,10/1/22 7:31
timhtb,varel2alvaro,Directed,1,,10/1/22 7:31
timhtb,nasdem,Directed,1,,10/1/22 7:31
timhtb,pdi_perjuangan,Directed,1,,10/1/22 7:31
timhtb,agusyudhoyono,Directed,2,,10/1/22 7:37
timhtb,pksejahtera,Directed,1,,10/1/22 7:31
timhtb,davidwijaya82,Directed,1,,10/1/22 7:31
timhtb,chusnulch__,Directed,1,,10/1/22 7:37
kangcil99080752,agusyudhoyono,Directed,1,,10/1/22 7:38
kangcil99080752,paltiwest,Directed,1,,10/1/22 7:38
bungongez,aniesbaswedan,Directed,1,saveaniesbaswedan,10/1/22 7:42
alienhaislamy,agusyudhoyono,Directed,1,,10/1/22 7:44
alienhaislamy,chusnulch__,Directed,1,,10/1/22 7:44
allabannasrap,agusyudhoyono,Directed,1,,10/1/22 7:46
allabannasrap,komnasham,Directed,1,,10/1/22 7:46
allabannasrap,syarman59,Directed,1,,10/1/22 7:46
rakyat_13,agusyudhoyono,Directed,2,,10/1/22 7:46
rakyat_13,chusnulch__,Directed,2,,10/1/22 7:46
bangnalar,agusyudho,Directed,1,,10/1/22 7:46
bangnalar,paltiwest,Directed,1,,10/1/22 7:46
aliwafa212gmai1,agusyudhoyono,Directed,1,,10/1/22 7:47
aliwafa212gmai1,aniesbaswedan,Directed,1,,10/1/22 7:47
yapholic,agusyudhoyono,Directed,1,,10/1/22 7:49
yapholic,chusnulch__,Directed,1,,10/1/22 7:49
murphieku,agusyudhoyono,Directed,1,,10/1/22 7:49
murphieku,chusnulch__,Directed,1,,10/1/22 7:49
bromocorahgrceb,bezetrossoneri,Directed,1,,10/1/22 7:51
bromocorahgrceb,bennyharmanid,Directed,1,,10/1/22 7:51
bromocorahgrceb,agusyudhoyono,Directed,1,,10/1/22 7:51
skazie,agusyudhoyono,Directed,1,,10/1/22 7:52
skazie,chusnulch__,Directed,1,,10/1/22 7:52
donihadhika,agusyudhoyono,Directed,1,,10/1/22 7:55
donihadhika,paltiwest,Directed,1,,10/1/22 7:55
superbedjo12,soen_cak,Directed,1,,10/1/22 7:58
superbedjo12,sbyudhoyono,Directed,1,,10/1/22 7:58
superbedjo12,agusyudhoyono,Directed,1,,10/1/22 7:58
wasis_ang_99108,agusyudhoyono,Directed,1,,10/1/22 7:59
wasis_ang_99108,chusnulch__,Directed,1,,10/1/22 7:59
seputarahy,agusyudhoyono,Directed,2,,10/1/22 8:02
indober2020,agusyudhoyono,Directed,1,,10/1/22 8:02
indober2020,chusnulch__,Directed,1,,10/1/22 8:02
sahabatguru165,agusyudhoyono,Directed,1,,10/1/22 8:02
sahabatguru165,chusnulch__,Directed,1,,10/1/22 8:02
haesshmh,dpr_ri,Directed,1,,10/1/22 8:04
haesshmh,kejaksaanri,Directed,1,,10/1/22 8:04
haesshmh,mohmahfudmd,Directed,1,,10/1/22 8:04
haesshmh,jokowi,Directed,1,,10/1/22 8:04
haesshmh,agusyudhoyono,Directed,1,,10/1/22 8:04
haesshmh,rosela_setia,Directed,1,,10/1/22 8:04
rmdhnisback,agusyudhoyono,Directed,1,,10/1/22 8:04
rmdhnisback,chusnulch__,Directed,1,,10/1/22 8:04
eraldikarl,agusyudhoyono,Directed,1,,10/1/22 8:04
eraldikarl,chusnulch__,Directed,1,,10/1/22 8:04
setiakawan25,agusyudhoyono,Directed,1,,10/1/22 8:06
setiakawan25,paltiwest,Directed,1,,10/1/22 8:06
syayidilumroh1,pdemokrat,Directed,1,,10/1/22 8:07
syayidilumroh1,agusyudhoyono,Directed,1,,10/1/22 8:07
syayidilumroh1,fnt70,Directed,1,,10/1/22 8:07
edis71067591,agusyudhoyono,Directed,1,,10/1/22 8:08
rudi_kadarisman,rudi_kadarisman,Directed,2,,10/1/22 8:11
rudi_kadarisman,agusyudhoyono,Directed,1,,10/1/22 8:14
mrakbar9611,agusyudhoyono,Directed,1,jumatberkah,10/1/22 8:15
nurrohm73400203,p,Directed,1,,10/1/22 8:16
nurrohm73400203,agusyudhoyono,Directed,1,,10/1/22 8:16
nurrohm73400203,alimuhsuharli,Directed,1,,10/1/22 8:16
amsyai,m45broo_,Directed,1,,10/1/22 8:16
mulyoto123,patriot016610,Directed,1,,10/1/22 8:19
mulyoto123,asepmah57973790,Directed,1,,10/1/22 8:19
mulyoto123,aniesbaswedan,Directed,1,,10/1/22 8:19
ryanvji,agusyudhoyono,Directed,1,,10/1/22 8:19
ryanvji,chusnulch__,Directed,1,,10/1/22 8:19
damarmaulana80,saididu,Directed,1,,10/1/22 8:22
damarmaulana80,sbyudhoyono,Directed,1,,10/1/22 8:22
damarmaulana80,agusyudhoyono,Directed,1,,10/1/22 8:22
damarmaulana80,prabowo,Directed,1,,10/1/22 8:22
damarmaulana80,listyosigitp,Directed,1,,10/1/22 8:22
damarmaulana80,ganjarpranowo,Directed,1,,10/1/22 8:22
damarmaulana80,airlangga_hrt,Directed,1,,10/1/22 8:22
damarmaulana80,jokowi,Directed,1,,10/1/22 8:22
damarmaulana80,bumnbersatu,Directed,1,,10/1/22 8:22
thebest97311628,agusyudhoyono,Directed,1,,10/1/22 8:24
diki60806500,youtubeilc,Directed,1,saveaniesbaswedan,10/1/22 8:22
sjaechu,youtubeilc,Directed,1,saveaniesbaswedan,10/1/22 8:25
diki60806500,karniilyas,Directed,1,saveaniesbaswedan,10/1/22 8:22
sjaechu,karniilyas,Directed,1,saveaniesbaswedan,10/1/22 8:25
diki60806500,mardanialisera,Directed,1,saveaniesbaswedan,10/1/22 8:22
diki60806500,nasdem,Directed,1,saveaniesbaswedan,10/1/22 8:22
diki60806500,pdemokrat,Directed,1,saveaniesbaswedan,10/1/22 8:22
diki60806500,pksejahtera,Directed,1,saveaniesbaswedan,10/1/22 8:22
diki60806500,aniesbaswedan,Directed,1,saveaniesbaswedan,10/1/22 8:22
sjaechu,diki60806500,Directed,1,saveaniesbaswedan,10/1/22 8:25
