Id,indegree,outdegree,modularity_class,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
nurhaya79620042,0,1,0,0,1,1,1,0,0.00033
ubay3782,3,0,0,0.003295,0,0,0,0,0.000958
frantonga,0,2,1,0,1,1,1,0,0.00033
giring_ganesha,1,0,1,0.000894,0,0,0,0,0.000471
agusyudhoyono,1025,0,2,1,0,0,0,0,0.189555
sistephat,0,2,28,0,1,1,1,0,0.00033
sbyudhoyono,112,0,28,0.108446,0,0,0,0,0.008274
kazuha_jian08,0,2,2,0,1,1,1,0,0.00033
tokoaischatz,2,0,2,0.001787,0,0,0,0,0.000506
wsetiowibowo,0,2,15,0,1,1,1,0,0.00033
chusnulch__,115,0,15,0.103549,0,0,0,0,0.014634
rijikguguk,0,3,28,0,1,1,1,0,0.00033
candra4smara,1,0,28,0.000894,0,0,0,0,0.000424
ruzli650002,0,4,15,0,1,1,1,0,0.00033
dr_moeldoko,11,0,15,0.010014,0,0,0,0,0.001122
cutsarina5,2,0,15,0.001787,0,0,0,0,0.000471
k3yong_nur,1,1,3,0.00098,0,0,0,0,0.00033
aguskode,0,2,6,0,5,0.313609,0.391509,0,0.00033
paltiwest,69,28,6,0.064086,4,0.444444,0.669872,3522.5,0.00913
semetonnanangs,0,5,2,0,2,0.857143,0.916667,0,0.00033
ahy_fansclub,1,0,2,0.000894,0,0,0,0,0.000386
ahylombok2024,6,4,2,0.005857,1,1,1,4.5,0.000643
pdntb_id,9,0,2,0.009406,0,0,0,0,0.000847
pdemokrat,147,1,2,0.164547,1,1,1,7.333333,0.016803
yonosuy98140840,0,2,2,0,1,1,1,0,0.00033
tjhinfar,28,0,2,0.025185,0,0,0,0,0.003548
eaemeng,0,2,6,0,5,0.313609,0.391509,0,0.00033
_ind1402_,0,9,23,0,1,1,1,0,0.00033
saididu,9,0,23,0.008302,0,0,0,0,0.00061
prabowo,33,0,23,0.032589,0,0,0,0,0.001887
listyosigitp,31,0,23,0.030802,0,0,0,0,0.001814
ganjarpranowo,43,0,23,0.042297,0,0,0,0,0.002549
airlangga_hrt,26,0,23,0.026086,0,0,0,0,0.001602
