Source,Target,Type,Weight,hashtags in tweet,tweet date (utc)
safeguardindo1,aniesbaswedan,Directed,1,,10/2/22 17:32
safeguardindo1,olvaholvah,Directed,1,,10/2/22 17:32
konoha2022,aniesbaswedan,Directed,2,,10/2/22 17:32
sarimbangi,aniesbaswedan,Directed,1,,10/2/22 17:32
sarimbangi,olvaholvah,Directed,1,,10/2/22 17:32
bncka_,aniesbaswedan,Directed,1,,10/2/22 17:32
arkamchaniago,ganjarpranowo,Directed,1,,10/2/22 17:32
arkamchaniago,aniesbaswedan,Directed,1,,10/2/22 17:32
arkamchaniago,kingsbewok,Directed,1,,10/2/22 17:32
irhamsyarif,aniesbaswedan,Directed,1,,10/2/22 17:33
irhamsyarif,tfjakarta,Directed,1,,10/2/22 17:33
wong_ndeso579,aniesbaswedan,Directed,1,,10/2/22 17:33
wong_ndeso579,kpk_ri,Directed,1,,10/2/22 17:33
wong_ndeso579,ex_anaklolina,Directed,1,,10/2/22 17:33
alijalal666,ganjarpranowo,Directed,1,,10/2/22 17:33
alijalal666,aniesbaswedan,Directed,1,,10/2/22 17:33
alijalal666,kingsbewok,Directed,1,,10/2/22 17:33
aaabengganteng,ganjarpranowo,Directed,1,,10/2/22 17:34
aaabengganteng,aniesbaswedan,Directed,1,,10/2/22 17:34
aaabengganteng,heritanjung13,Directed,1,,10/2/22 17:34
indo_brand,aniesbaswedan,Directed,1,,10/2/22 17:34
indo_brand,tukangrosok___,Directed,1,,10/2/22 17:34
arieftata01,ganjarpranowo,Directed,1,,10/2/22 17:35
arieftata01,aniesbaswedan,Directed,1,,10/2/22 17:35
arieftata01,kingsbewok,Directed,1,,10/2/22 17:35
dongodungu,heritanjung13,Directed,1,,10/2/22 17:36
dilerenggunung,aniesbaswedan,Directed,1,,10/2/22 17:36
dilerenggunung,tukangrosok___,Directed,1,,10/2/22 17:36
bagindo47562689,ganjarpranowo,Directed,1,,10/2/22 17:33
bagindo47562689,uki23,Directed,2,,10/2/22 17:36
bagindo47562689,aniesbaswedan,Directed,2,,10/2/22 17:36
bagindo47562689,ferrykoto,Directed,1,,10/2/22 17:33
triyanto0583,aniesbaswedan,Directed,1,,10/2/22 17:36
triyanto0583,olvaholvah,Directed,1,,10/2/22 17:36
ade_item88,ganjarpranowo,Directed,1,,10/2/22 17:37
ade_item88,aniesbaswedan,Directed,1,,10/2/22 17:37
ade_item88,heritanjung13,Directed,1,,10/2/22 17:37
potassium73,republikaonline,Directed,1,,10/2/22 17:37
sianakmami,aniesbaswedan,Directed,1,,10/2/22 17:37
stream_wheel,aniesbaswedan,Directed,1,,10/2/22 17:38
aziz5_abdul,aniesbaswedan,Directed,1,,10/2/22 17:38
aziz5_abdul,fahrihamzah,Directed,1,,10/2/22 17:38
aziz5_abdul,tukangrosok___,Directed,1,,10/2/22 17:38
denai69,aniesbaswedan,Directed,1,,10/2/22 17:38
matataby0,aniesbaswedan,Directed,2,,10/2/22 17:40
arsyakhasukarno,aniesbaswedan,Directed,1,,10/2/22 17:41
hendral48409398,ganjarpranowo,Directed,1,,10/2/22 17:42
hendral48409398,aniesbaswedan,Directed,1,,10/2/22 17:42
hendral48409398,kingsbewok,Directed,1,,10/2/22 17:42
edwinsantoso15,aniesbaswedan,Directed,1,,10/2/22 17:43
syukri0909,aniesbaswedan,Directed,1,,10/2/22 17:43
syukri0909,naaoolll,Directed,1,,10/2/22 17:43
papaemier77,ganjarpranowo,Directed,1,,10/2/22 17:43
papaemier77,aniesbaswedan,Directed,1,,10/2/22 17:43
papaemier77,kingsbewok,Directed,1,,10/2/22 17:43
delimaroon,aniesbaswedan,Directed,1,,10/2/22 17:43
delimaroon,patriot016610,Directed,1,,10/2/22 17:43
bertemujodoh,aniesbaswedan,Directed,1,,10/2/22 17:45
neilzurong,heritanjung13,Directed,1,,10/2/22 17:46
ileritil,aniesbaswedan,Directed,2,,10/2/22 17:46
ileritil,tita83079013,Directed,2,,10/2/22 17:46
ileritil,the3brothers2,Directed,1,,10/2/22 17:46
titymargana,ampera151,Directed,1,,10/2/22 17:48
titymargana,aniesbaswedan,Directed,1,,10/2/22 17:48
elangbadai5,aniesbaswedan,Directed,3,,10/2/22 17:49
elangbadai5,sutanmangara,Directed,1,,10/2/22 17:49
bandorobrojo,aniesbaswedan,Directed,1,,10/2/22 17:49
bandorobrojo,nicho_silalahi,Directed,1,,10/2/22 17:49
bejo__kondo0,aniesbaswedan,Directed,1,,10/2/22 17:50
dqloveshawaii,aniesbaswedan,Directed,1,,10/2/22 17:50
dqloveshawaii,olvaholvah,Directed,1,,10/2/22 17:50
trimulyaniaja,udhinjogja,Directed,1,,10/2/22 17:49
trimulyaniaja,ridwankamil,Directed,1,,10/2/22 17:49
trimulyaniaja,aniesbaswedan,Directed,2,,10/2/22 17:51
trimulyaniaja,cnnindonesia,Directed,1,,10/2/22 17:49
trimulyaniaja,tita83079013,Directed,1,,10/2/22 17:51
trimulyaniaja,tukangrosok___,Directed,1,,10/2/22 17:51
lah_dibaca,aniesbaswedan,Directed,1,,10/2/22 17:51
kdyiah,aniesbaswedan,Directed,1,,10/2/22 17:52
kdyiah,grsjulius,Directed,1,,10/2/22 17:52
balahanca,ganjarpranowo,Directed,1,,10/2/22 17:53
balahanca,aniesbaswedan,Directed,1,,10/2/22 17:53
balahanca,kingsbewok,Directed,1,,10/2/22 17:53
prassehat,aniesbaswedan,Directed,1,,10/2/22 17:53
imperiumalexan2,aniesbaswedan,Directed,1,tangkapaniesbaswedan,10/2/22 17:44
imperiumalexan2,olvaholvah,Directed,1,tangkapaniesbaswedan,10/2/22 17:44
christi28566166,imperiumalexan2,Directed,1,tangkapaniesbaswedan,10/2/22 17:45
christi28566166,aniesbaswedan,Directed,2,tangkapaniesbaswedan,10/2/22 17:53
christi28566166,olvaholvah,Directed,1,tangkapaniesbaswedan,10/2/22 17:45
christi28566166,najwashihab,Directed,1,,10/2/22 17:53
christi28566166,mrsrachelin,Directed,1,,10/2/22 17:53
abah_bangsa,ganjarpranowo,Directed,1,,10/2/22 17:53
abah_bangsa,aniesbaswedan,Directed,1,,10/2/22 17:53
abah_bangsa,kingsbewok,Directed,1,,10/2/22 17:53
seekorkimmy,aniesbaswedan,Directed,2,,10/2/22 17:54
siikopihideung,aniesbaswedan,Directed,1,,10/2/22 17:54
ejat3010,aniesbaswedan,Directed,1,,10/2/22 17:54
ejat3010,uki23,Directed,1,,10/2/22 17:54
bukanaroon2,aniesbaswedan,Directed,1,,10/2/22 17:56
bukanaroon2,sutanmangara,Directed,1,,10/2/22 17:56
slametsetiyon11,aniesbaswedan,Directed,1,,10/2/22 17:56
slametsetiyon11,olvaholvah,Directed,1,,10/2/22 17:56
hero_theone,wulandari_erian,Directed,1,,10/2/22 17:56
hero_theone,love_ag4ever__,Directed,1,,10/2/22 17:56
hero_theone,aniesbaswedan,Directed,1,,10/2/22 17:56
hero_theone,patriot016610,Directed,1,,10/2/22 17:56
nerrasigit,aniesbaswedan,Directed,2,,10/2/22 17:56
nerrasigit,stresnowat1,Directed,1,,10/2/22 17:56
arnybanker,aniesbaswedan,Directed,1,,10/2/22 17:57
lanyallaacademy,cutsarina,Directed,1,,10/2/22 17:57
lanyallaacademy,mariaalcaff,Directed,1,,10/2/22 17:57
lanyallaacademy,ilhamuav,Directed,1,,10/2/22 17:57
_mulyadikiranya,aniesbaswedan,Directed,1,,10/2/22 17:58
evi_sufiani,aniesbaswedan,Directed,1,,10/2/22 17:58
deliveria2,ganjarpranowo,Directed,1,,10/2/22 17:59
deliveria2,aniesbaswedan,Directed,1,,10/2/22 17:59
deliveria2,kingsbewok,Directed,1,,10/2/22 17:59
andryan1453,aniesbaswedan,Directed,1,,10/2/22 17:59
andryan1453,olvaholvah,Directed,1,,10/2/22 17:59
revolted5,aniesbaswedan,Directed,2,,10/2/22 18:00
revolted5,cnnindonesia,Directed,1,,10/2/22 17:45
revolted5,olvaholvah,Directed,1,,10/2/22 18:00
santapradana,aniesbaswedan,Directed,1,,10/2/22 18:02
amrsto1,aniesbaswedan,Directed,1,,10/2/22 18:03
amrsto1,olvaholvah,Directed,1,,10/2/22 18:03
jedhot5,aniesbaswedan,Directed,1,,10/2/22 18:04
jedhot5,rizmaya__,Directed,1,,10/2/22 18:04
anharmut,aniesbaswedan,Directed,1,,10/2/22 18:04
