Id,pagerank,indegree,outdegree,modularity_class,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
safeguardindo1,,0,2,1,0,1,1,1,0,0.0003
aniesbaswedan,,1304,0,0,1,0,0,0,0,0.183583
olvaholvah,,227,0,1,0.172329,0,0,0,0,0.027811
konoha2022,,0,1,0,0,1,1,1,0,0.0003
sarimbangi,,0,2,1,0,1,1,1,0,0.0003
bncka_,,0,1,0,0,1,1,1,0,0.0003
arkamchaniago,,0,3,4,0,1,1,1,0,0.0003
ganjarpranowo,,242,0,4,0.182807,0,0,0,0,0.019571
kingsbewok,,180,0,4,0.134643,0,0,0,0,0.015276
irhamsyarif,,0,2,3,0,1,1,1,0,0.0003
tfjakarta,,3,0,3,0.002242,0,0,0,0,0.000683
wong_ndeso579,,0,3,9,0,1,1,1,0,0.0003
kpk_ri,,122,0,11,0.093815,0,0,0,0,0.009641
ex_anaklolina,,5,0,9,0.004277,0,0,0,0,0.000528
alijalal666,,0,3,4,0,1,1,1,0,0.0003
aaabengganteng,,0,3,4,0,1,1,1,0,0.0003
heritanjung13,,80,0,4,0.060548,0,0,0,0,0.011425
indo_brand,,0,2,5,0,1,1,1,0,0.0003
tukangrosok___,,44,0,5,0.033058,0,0,0,0,0.004353
arieftata01,,0,3,4,0,1,1,1,0,0.0003
dongodungu,,0,1,4,0,1,1,1,0,0.0003
dilerenggunung,,0,2,5,0,1,1,1,0,0.0003
bagindo47562689,,0,4,6,0,1,1,1,0,0.0003
uki23,,26,0,6,0.019544,0,0,0,0,0.002982
ferrykoto,,5,0,6,0.003737,0,0,0,0,0.000564
triyanto0583,,0,2,1,0,1,1,1,0,0.0003
ade_item88,,0,3,4,0,1,1,1,0,0.0003
potassium73,,0,1,7,0,1,1,1,0,0.0003
republikaonline,,1,0,7,0.000747,0,0,0,0,0.000556
sianakmami,,0,1,0,0,1,1,1,0,0.0003
stream_wheel,,0,1,0,0,1,1,1,0,0.0003
aziz5_abdul,,0,3,5,0,1,1,1,0,0.0003
fahrihamzah,,14,0,5,0.010463,0,0,0,0,0.001247
denai69,,0,1,0,0,1,1,1,0,0.0003
matataby0,,0,1,0,0,1,1,1,0,0.0003
arsyakhasukarno,,0,1,0,0,1,1,1,0,0.0003
hendral48409398,,0,3,4,0,1,1,1,0,0.0003
edwinsantoso15,,0,1,0,0,1,1,1,0,0.0003
syukri0909,,0,2,11,0,1,1,1,0,0.0003
naaoolll,,5,0,11,0.003737,0,0,0,0,0.000768
papaemier77,,0,3,4,0,1,1,1,0,0.0003
delimaroon,,0,2,13,0,1,1,1,0,0.0003
patriot016610,,14,0,13,0.010463,0,0,0,0,0.001825
bertemujodoh,,0,1,0,0,1,1,1,0,0.0003
neilzurong,,0,1,4,0,1,1,1,0,0.0003
ileritil,,0,3,0,0,2,0.8,0.875,0,0.0003
tita83079013,,24,0,0,0.018808,0,0,0,0,0.002628
the3brothers2,,1,3,0,0.000747,1,1,1,1,0.000385
titymargana,,0,2,8,0,1,1,1,0,0.0003
ampera151,,1,0,8,0.000747,0,0,0,0,0.000428
elangbadai5,,0,2,0,0,1,1,1,0,0.0003
sutanmangara,,22,0,0,0.016667,0,0,0,0,0.002144
bandorobrojo,,0,2,39,0,1,1,1,0,0.0003
nicho_silalahi,,8,0,39,0.006093,0,0,0,0,0.001008
bejo__kondo0,,0,1,0,0,1,1,1,0,0.0003
dqloveshawaii,,0,2,1,0,1,1,1,0,0.0003
trimulyaniaja,,0,6,0,0,1,1,1,0,0.0003
udhinjogja,,1,0,0,0.000747,0,0,0,0,0.000343
ridwankamil,,5,0,0,0.003737,0,0,0,0,0.000592
cnnindonesia,,5,0,0,0.003737,0,0,0,0,0.000649
lah_dibaca,,0,1,0,0,1,1,1,0,0.0003
kdyiah,,0,2,9,0,1,1,1,0,0.0003
grsjulius,,24,0,9,0.018362,0,0,0,0,0.0024
balahanca,,0,3,4,0,1,1,1,0,0.0003
prassehat,,0,1,0,0,1,1,1,0,0.0003
imperiumalexan2,,1,2,0,0.000747,1,1,1,0,0.000351
christi28566166,,0,5,0,0,1,1,1,0,0.0003
najwashihab,,2,0,15,0.001495,0,0,0,0,0.000436
mrsrachelin,,4,0,15,0.003104,0,0,0,0,0.000469
abah_bangsa,,0,3,4,0,1,1,1,0,0.0003
seekorkimmy,,0,1,0,0,1,1,1,0,0.0003
siikopihideung,,0,1,0,0,1,1,1,0,0.0003
ejat3010,,0,2,6,0,1,1,1,0,0.0003
bukanaroon2,,0,2,0,0,1,1,1,0,0.0003
slametsetiyon11,,0,2,1,0,1,1,1,0,0.0003
hero_theone,,0,4,10,0,1,1,1,0,0.0003
wulandari_erian,,1,0,10,0.000747,0,0,0,0,0.000364
love_ag4ever__,,2,0,10,0.001495,0,0,0,0,0.000396
nerrasigit,,0,2,0,0,3,0.4,0.453704,0,0.0003
stresnowat1,,13,6,0,0.010416,2,0.607143,0.676471,169,0.00197
arnybanker,,0,1,0,0,1,1,1,0,0.0003
lanyallaacademy,,3,9,25,0.002739,2,0.846154,0.909091,9,0.000433
cutsarina,,1,0,25,0.000933,0,0,0,0,0.000341
mariaalcaff,,1,0,25,0.000933,0,0,0,0,0.000341
ilhamuav,,1,0,25,0.000933,0,0,0,0,0.000341
_mulyadikiranya,,0,1,0,0,1,1,1,0,0.0003
evi_sufiani,,0,1,0,0,1,1,1,0,0.0003
deliveria2,,0,3,4,0,1,1,1,0,0.0003
andryan1453,,0,2,1,0,1,1,1,0,0.0003
revolted5,,0,3,0,0,1,1,1,0,0.0003
santapradana,,0,1,0,0,1,1,1,0,0.0003
amrsto1,,0,2,1,0,1,1,1,0,0.0003
jedhot5,,0,2,10,0,1,1,1,0,0.0003
rizmaya__,,26,0,10,0.019895,0,0,0,0,0.002876
anharmut,,0,1,0,0,1,1,1,0,0.0003
jasatim,,0,1,0,0,1,1,1,0,0.0003
adber31,,0,3,4,0,1,1,1,0,0.0003
kurusetra91,,0,3,11,0,1,1,1,0,0.0003
putrafajar1945,,54,0,11,0.040359,0,0,0,0,0.004536
asmujivahn,,0,1,0,0,1,1,1,0,0.0003
djapoel,,0,4,1,0,1,1,1,0,0.0003
flo_rence,,1,0,1,0.000747,0,0,0,0,0.000364
firzahusaininc,,3,0,1,0.002298,0,0,0,0,0.000512
ilmuhidup,,0,1,0,0,1,1,1,0,0.0003
burungnurikeci1,,0,1,0,0,1,1,1,0,0.0003
damarlumintang,,0,3,4,0,1,1,1,0,0.0003
tibbilqulubb,,0,1,0,0,1,1,1,0,0.0003
damaiharilubis6,,1,1,12,0.000806,0,0,0,0,0.0003
alilkha1,,0,2,35,0,1,1,1,0,0.0003
doktertifa,,8,0,35,0.005979,0,0,0,0,0.001172
hristomilano,,0,2,0,0,1,1,1,0,0.0003
bumnbersatu,,55,1,0,0.042417,1,1,1,0,0.00629
de69toxde,,0,1,0,0,1,1,1,0,0.0003
bahrimarpaung,,0,1,0,0,1,1,1,0,0.0003
yud_iii,,4,3,0,0.00299,1,1,1,4,0.000547
yudhis__88,,1,0,0,0.000972,0,0,0,0,0.000456
abenx832,,0,1,0,0,1,1,1,0,0.0003
bravetrackindo,,0,2,5,0,1,1,1,0,0.0003
bahri_ocean,,1,2,0,0.000747,1,1,1,0,0.000385
paparocknroll82,,0,3,0,0,1,1,1,0,0.0003
ddnsamsudin7,,0,1,0,0,1,1,1,0,0.0003
kkvrindhavan,,0,1,0,0,1,1,1,0,0.0003
amamirthok,,0,1,13,0,1,1,1,0,0.0003
aniesmania,,24,0,13,0.017937,0,0,0,0,0.004632
anggitahusain2,,0,3,0,0,1,1,1,0,0.0003
minum_obat,,0,1,0,0,1,1,1,0,0.0003
tukang_rosokan,,0,2,1,0,1,1,1,0,0.0003
reizamahmudi_,,0,1,0,0,1,1,1,0,0.0003
afc_hafiz,,0,1,0,0,1,1,1,0,0.0003
pangemananrith1,,1,16,0,0.000747,4,0.535714,0.702778,27,0.000385
sweett,,1,0,0,0.000803,0,0,0,0,0.000321
bangahm72490980,,1,0,0,0.000803,0,0,0,0,0.000321
anas_dosq,,1,0,0,0.000803,0,0,0,0,0.000321
annas_cim,,1,0,0,0.000803,0,0,0,0,0.000321
1yudhiasmara,,1,0,0,0.000803,0,0,0,0,0.000321
alius114,,0,1,0,0,1,1,1,0,0.0003
fariedza,,0,2,0,0,1,1,1,0,0.0003
hendarwatih,,0,15,13,0,3,0.54878,0.640741,0,0.0003
bendoll02708591,,1,0,13,0.000747,0,0,0,0,0.000317
byucyd,,1,0,13,0.000747,0,0,0,0,0.000317
tokpitut,,1,0,13,0.000747,0,0,0,0,0.000317
anasurbaningrum,,1,0,13,0.000747,0,0,0,0,0.000317
mi73hel,,1,0,13,0.000747,0,0,0,0,0.000317
kangmirdja,,1,0,13,0.000747,0,0,0,0,0.000317
xdim999,,2,24,13,0.001555,3,0.686275,0.819048,44,0.000362
relawananies,,29,0,13,0.021801,0,0,0,0,0.00437
firlibahuri,,3,0,20,0.002242,0,0,0,0,0.000432
tempodotco,,4,0,13,0.003106,0,0,0,0,0.000465
tatakujiyati,,6,0,13,0.004599,0,0,0,0,0.000438
syarman59,,7,3,13,0.005593,2,0.6,0.666667,46.5,0.000565
alextom71,,0,1,4,0,1,1,1,0,0.0003
virllyhavid,,0,1,13,0,1,1,1,0,0.0003
febbyalim03,,0,1,0,0,1,1,1,0,0.0003
rezaldykhurana,,0,3,4,0,1,1,1,0,0.0003
prayetnobos,,0,2,1,0,1,1,1,0,0.0003
sudarno82171186,,0,1,0,0,1,1,1,0,0.0003
uwaydugan,,0,3,4,0,1,1,1,0,0.0003
ceu2,,0,1,0,0,1,1,1,0,0.0003
gder2indra,,0,1,0,0,1,1,1,0,0.0003
supriadimit,,0,3,4,0,1,1,1,0,0.0003
anti_jel,,0,3,4,0,1,1,1,0,0.0003
bopaaaakk,,0,1,0,0,1,1,1,0,0.0003
mprnggm,,0,1,0,0,1,1,1,0,0.0003
djumadipartose1,,0,3,4,0,1,1,1,0,0.0003
iskanda43028301,,0,3,4,0,1,1,1,0,0.0003
miharja_ozzy,,0,1,0,0,1,1,1,0,0.0003
disiapindong,,0,3,4,0,1,1,1,0,0.0003
gbrand_9127,,0,6,11,0,2,0.875,0.928571,0,0.0003
akun___receh,,1,0,11,0.000747,0,0,0,0,0.000343
rakyat_recehan,,2,0,11,0.001495,0,0,0,0,0.000428
khendy_manggala,,1,2,11,0.000747,1,1,1,1,0.000343
metdro2,,3,0,15,0.002356,0,0,0,0,0.000376
henryii63936538,,0,2,5,0,1,1,1,0,0.0003
13imans,,0,9,39,0,1,1,1,0,0.0003
novelbaswedan,,2,0,39,0.001495,0,0,0,0,0.000361
febridiansyah,,3,0,39,0.002242,0,0,0,0,0.000397
ramlirizal,,4,0,39,0.00337,0,0,0,0,0.000463
saididu,,2,0,39,0.001495,0,0,0,0,0.000361
sobat_anies,,4,0,39,0.00299,0,0,0,0,0.000467
avengers_02,,2,0,39,0.001495,0,0,0,0,0.000361
rekacipta_new,,0,3,14,0,1,1,1,0,0.0003
adindaasmara_,,1,0,14,0.000747,0,0,0,0,0.000385
lucky_hafner,,1,0,14,0.000747,0,0,0,0,0.000385
mamangdjalu,,0,5,0,0,1,1,1,0,0.0003
bappedadki,,19,0,10,0.014599,0,0,0,0,0.001975
didihartadi4,,0,5,15,0,1,1,1,0,0.0003
walikotajakpus,,1,0,15,0.000747,0,0,0,0,0.000351
dkpkpjakarta,,1,0,15,0.000747,0,0,0,0,0.000351
dishubdki_jkt,,2,0,15,0.002228,0,0,0,0,0.000596
arizapatria,,7,0,15,0.006653,0,0,0,0,0.001105
benajalo1,,0,2,5,0,1,1,1,0,0.0003
ryan19musisi,,0,2,0,0,1,1,1,0,0.0003
dodixir,,0,1,0,0,1,1,1,0,0.0003
rezamubarok_,,0,1,0,0,1,1,1,0,0.0003
aryanggim,,0,2,1,0,1,1,1,0,0.0003
farm_1975,,0,6,5,0,2,0.65,0.730769,0,0.0003
santorinissun,,1,0,5,0.000747,0,0,0,0,0.000343
helmifelis_,,3,0,0,0.002356,0,0,0,0,0.00053
aimanjudakusum1,,1,8,5,0.000747,1,1,1,7,0.000343
rossiy_anna,,0,1,0,0,1,1,1,0,0.0003
maenggok,,0,1,0,0,1,1,1,0,0.0003
jokolipservice,,0,2,10,0,1,1,1,0,0.0003
buditurmudzi,,0,3,0,0,1,1,1,0,0.0003
wahidsuzuki,,11,0,0,0.008221,0,0,0,0,0.001045
hadiwidj1273,,0,1,0,0,1,1,1,0,0.0003
akaduyy,,0,1,0,0,1,1,1,0,0.0003
tuwab123,,0,9,16,0,1,1,1,0,0.0003
