Source,Target,Type,Weight,hashtags in tweet,tweet date (utc)
3kowel,syahirularif,Directed,1,,10/2/22 17:03
3kowel,ganjarpranowo,Directed,1,,10/2/22 17:03
3kowel,wagimandeep212_,Directed,1,,10/2/22 17:03
tjahjowidianto2,ganjarpranowo,Directed,1,saveaniesbaswedan saveaniesbaswedan,10/2/22 17:04
tjahjowidianto2,aniesbaswedan,Directed,1,saveaniesbaswedan saveaniesbaswedan,10/2/22 17:04
tjahjowidianto2,kingsbewok,Directed,1,saveaniesbaswedan saveaniesbaswedan,10/2/22 17:04
onidswahyudin,pdi_perjuangan,Directed,1,,10/2/22 17:04
onidswahyudin,ganjarpranowo,Directed,1,,10/2/22 17:04
fed4123fdf5d44a,ganjarpranowo,Directed,1,,10/2/22 17:04
fed4123fdf5d44a,aniesbaswedan,Directed,1,,10/2/22 17:04
fed4123fdf5d44a,kingsbewok,Directed,1,,10/2/22 17:04
si73edy,pdi_perjuangan,Directed,1,,10/2/22 17:04
si73edy,ganjarpranowo,Directed,1,,10/2/22 17:04
gustjahsaja,firlibahuri,Directed,1,ektp,10/2/22 17:04
gustjahsaja,kpk_ri,Directed,1,ektp,10/2/22 17:04
gustjahsaja,yosnggarang,Directed,1,ektp,10/2/22 17:04
azkanih7,ganjarpranowo,Directed,2,ganjaranapp ganjarkita,10/2/22 17:04
azkanih7,ganjaranapp,Directed,2,ganjaranapp ganjarkita,10/2/22 17:04
azkanih7,ridwankamil,Directed,1,ganjaranapp ganjarkita,10/2/22 17:04
azkafalah,ganjarpranowo,Directed,1,,10/2/22 17:05
a_subaidi84,ganjarpranowo,Directed,1,,10/2/22 17:05
a_subaidi84,aniesbaswedan,Directed,1,,10/2/22 17:05
a_subaidi84,kingsbewok,Directed,1,,10/2/22 17:05
crennatanada1,pdi_perjuangan,Directed,1,,10/2/22 17:05
crennatanada1,ganjarpranowo,Directed,1,,10/2/22 17:05
liechaikha_yoza,hendrachmanaa,Directed,1,,10/2/22 17:05
liechaikha_yoza,pdi_perjuangan,Directed,1,,10/2/22 17:05
liechaikha_yoza,ganjarpranowo,Directed,1,,10/2/22 17:05
shtclaudine,pdi_perjuangan,Directed,1,,10/2/22 17:06
shtclaudine,ganjarpranowo,Directed,1,,10/2/22 17:06
cantikbgtamin,pdi_perjuangan,Directed,1,,10/2/22 17:06
cantikbgtamin,ganjarpranowo,Directed,1,,10/2/22 17:06
cantikbgtamin,_akhir_zaman_,Directed,1,,10/2/22 17:06
agensosishandil,pdi_perjuangan,Directed,1,,10/2/22 17:06
agensosishandil,ganjarpranowo,Directed,1,,10/2/22 17:06
agensosishandil,muhalim77,Directed,1,,10/2/22 17:06
rizkyy6969,ganjarpranowo,Directed,2,ganjaranapp,10/2/22 17:07
rizkyy6969,ganjaranapp,Directed,2,ganjaranapp,10/2/22 17:07
rizkyy6969,ridwankamil,Directed,1,ganjaranapp,10/2/22 17:07
bukankaummuna,heritanjung13,Directed,1,,10/2/22 17:07
fmkbr1,pdi_perjuangan,Directed,1,,10/2/22 17:07
fmkbr1,ganjarpranowo,Directed,1,,10/2/22 17:07
cumaiiseng,pdi_perjuangan,Directed,1,,10/2/22 17:07
cumaiiseng,ganjarpranowo,Directed,1,,10/2/22 17:07
cumaiiseng,herrysuryya,Directed,1,,10/2/22 17:07
cumaiiseng,deydeychristina,Directed,1,,10/2/22 17:07
zyreg2,pdi_perjuangan,Directed,1,,10/2/22 17:07
zyreg2,ganjarpranowo,Directed,1,,10/2/22 17:07
zyreg2,_akhir_zaman_,Directed,1,,10/2/22 17:07
buk4n_pej4b4t,ganjarpranowo,Directed,1,,10/2/22 17:08
buk4n_pej4b4t,aniesbaswedan,Directed,1,,10/2/22 17:08
buk4n_pej4b4t,heritanjung13,Directed,1,,10/2/22 17:08
cakdar06797616,ganjarpranowo,Directed,1,,10/2/22 17:08
cakdar06797616,aniesbaswedan,Directed,1,,10/2/22 17:08
cakdar06797616,kingsbewok,Directed,1,,10/2/22 17:08
aidaerza,ganjarpranowo,Directed,2,ganjaranapp,10/2/22 17:09
aidaerza,ganjaranapp,Directed,2,ganjaranapp,10/2/22 17:09
aidaerza,ridwankamil,Directed,1,ganjaranapp,10/2/22 17:09
yudhis__88,fanta_junaidi,Directed,1,,10/2/22 17:09
yudhis__88,ganjarpranowo,Directed,1,,10/2/22 17:09
yudhis__88,aniesbaswedan,Directed,1,,10/2/22 17:09
yudhis__88,heritanjung13,Directed,1,,10/2/22 17:09
shareandlock1,aleurbbygurl,Directed,1,,10/2/22 17:09
shareandlock1,pdi_perjuangan,Directed,1,,10/2/22 17:09
shareandlock1,ganjarpranowo,Directed,1,,10/2/22 17:09
ronievillie,pdi_perjuangan,Directed,1,,10/2/22 17:09
ronievillie,ganjarpranowo,Directed,1,,10/2/22 17:09
mahes190919,milaajmilaaj1,Directed,1,,10/2/22 17:10
mahes190919,pdi_perjuangan,Directed,1,,10/2/22 17:10
mahes190919,kadrunbinpekok,Directed,1,,10/2/22 17:10
mahes190919,ganjarpranowo,Directed,1,,10/2/22 17:10
mahes190919,heryidris5,Directed,1,,10/2/22 17:10
sandrarahman12,ganjarpranowo,Directed,2,ganjaranapp,10/2/22 17:11
sandrarahman12,ganjaranapp,Directed,2,ganjaranapp,10/2/22 17:11
sandrarahman12,ridwankamil,Directed,1,ganjaranapp,10/2/22 17:11
berryajaaa70,pdi_perjuangan,Directed,1,,10/2/22 17:11
berryajaaa70,ganjarpranowo,Directed,1,,10/2/22 17:11
buruh_kecil,ganjarpranowo,Directed,1,,10/2/22 17:11
buruh_kecil,eddibrokoli,Directed,1,,10/2/22 17:11
muazak3,pdi_perjuangan,Directed,1,,10/2/22 17:11
muazak3,ganjarpranowo,Directed,1,,10/2/22 17:11
danudimulyo,pdi_perjuangan,Directed,1,,10/2/22 17:11
danudimulyo,achzam_prabu,Directed,1,,10/2/22 17:11
danudimulyo,ganjarpranowo,Directed,1,,10/2/22 17:11
danudimulyo,ringo15pansa,Directed,1,,10/2/22 17:11
suryadihyoiiiii,ganjarpranowo,Directed,1,,10/2/22 17:11
suryadihyoiiiii,aniesbaswedan,Directed,1,,10/2/22 17:11
suryadihyoiiiii,kingsbewok,Directed,1,,10/2/22 17:11
ntar_yaa,pdi_perjuangan,Directed,1,,10/2/22 17:12
ntar_yaa,ganjarpranowo,Directed,1,,10/2/22 17:12
semar17134178,achzam_prabu,Directed,1,,10/2/22 17:09
semar17134178,ringo15pansa,Directed,1,,10/2/22 17:09
semar17134178,pdi_perjuangan,Directed,2,,10/2/22 17:12
semar17134178,ganjarpranowo,Directed,2,,10/2/22 17:12
raihanterus,ganjarpranowo,Directed,2,ganjaranapp ganjarkita,10/2/22 17:13
raihanterus,ganjaranapp,Directed,2,ganjaranapp ganjarkita,10/2/22 17:13
raihanterus,ridwankamil,Directed,1,ganjaranapp ganjarkita,10/2/22 17:13
sutannadenggan,ganjarpranowo,Directed,1,,10/2/22 17:13
sutannadenggan,aniesbaswedan,Directed,1,,10/2/22 17:13
sutannadenggan,kingsbewok,Directed,1,,10/2/22 17:13
mhmmdrifqiakbar,pdi_perjuangan,Directed,1,,10/2/22 17:13
mhmmdrifqiakbar,ganjarpranowo,Directed,1,,10/2/22 17:13
kharisma_dwi_l,pdi_perjuangan,Directed,2,,10/2/22 17:13
kharisma_dwi_l,ganjarpranowo,Directed,2,,10/2/22 17:13
kharisma_dwi_l,marsudi__,Directed,1,,10/2/22 17:10
alba89msmugi,ganjarpranowo,Directed,1,,10/2/22 17:14
rizavaldi,ganjarpranowo,Directed,2,ganjaranapp,10/2/22 17:14
rizavaldi,ganjaranapp,Directed,2,ganjaranapp,10/2/22 17:14
rizavaldi,ridwankamil,Directed,1,ganjaranapp,10/2/22 17:14
ristan80,ganjarpranowo,Directed,1,,10/2/22 17:15
ristan80,aniesbaswedan,Directed,1,,10/2/22 17:15
ristan80,heritanjung13,Directed,1,,10/2/22 17:15
mangkukna4,pdi_perjuangan,Directed,1,,10/2/22 17:11
mangkukna4,ganjarpranowo,Directed,1,,10/2/22 17:11
mangkukna4,mankjj1,Directed,1,,10/2/22 17:11
mankjj1,mangkukna4,Directed,1,,10/2/22 17:15
mankjj1,pdi_perjuangan,Directed,2,,10/2/22 17:15
mankjj1,ganjarpranowo,Directed,2,,10/2/22 17:15
prabukerta,pdi_perjuangan,Directed,1,,10/2/22 17:15
prabukerta,ganjarpranowo,Directed,1,,10/2/22 17:15
artar76699729,pdi_perjuangan,Directed,1,,10/2/22 17:15
artar76699729,kadrunbinpekok,Directed,1,,10/2/22 17:15
artar76699729,ganjarpranowo,Directed,1,,10/2/22 17:15
artar76699729,heryidris5,Directed,1,,10/2/22 17:15
azizalhanafi,ganjarpranowo,Directed,1,,10/2/22 17:16
moel_79,pdi_perjuangan,Directed,1,,10/2/22 17:17
moel_79,ganjarpranowo,Directed,1,,10/2/22 17:17
namitamaki8,pdi_perjuangan,Directed,1,,10/2/22 17:17
namitamaki8,ganjarpranowo,Directed,1,,10/2/22 17:17
gday_adi,pdi_perjuangan,Directed,1,,10/2/22 17:17
gday_adi,ganjarpranowo,Directed,1,,10/2/22 17:17
yhnwa,ganjarpranowo,Directed,1,,10/2/22 17:17
suciptoditoyah2,ganjarpranowo,Directed,1,,10/2/22 17:17
suciptoditoyah2,lembayung071,Directed,1,,10/2/22 17:17
kobou17,pdi_perjuangan,Directed,1,,10/2/22 17:18
kobou17,ganjarpranowo,Directed,1,,10/2/22 17:18
sahabat06040072,pdi_perjuangan,Directed,1,,10/2/22 17:18
sahabat06040072,ganjarpranowo,Directed,1,,10/2/22 17:18
flowerbean83,ganjarpranowo,Directed,2,ganjaranapp ganjarkita,10/2/22 17:18
flowerbean83,ganjaranapp,Directed,2,ganjaranapp ganjarkita,10/2/22 17:18
flowerbean83,ridwankamil,Directed,1,ganjaranapp ganjarkita,10/2/22 17:18
xchsn_,pdi_perjuangan,Directed,1,,10/2/22 17:19
xchsn_,ganjarpranowo,Directed,1,,10/2/22 17:19
glondong_j,pdi_perjuangan,Directed,1,,10/2/22 17:20
glondong_j,ganjarpranowo,Directed,1,,10/2/22 17:20
glondong_j,joechristy27,Directed,1,,10/2/22 17:20
nadnidnud13,ganjarpranowo,Directed,1,ganjaranapp ganjarkita,10/2/22 17:22
nadnidnud13,ganjaranapp,Directed,1,ganjaranapp ganjarkita,10/2/22 17:22
masaji52009083,ganjarpranowo,Directed,2,,10/2/22 17:22
met_rahmeet,pdi_perjuangan,Directed,1,,10/2/22 17:22
met_rahmeet,ganjarpranowo,Directed,1,,10/2/22 17:22
putradann_,ganjarpranowo,Directed,2,ganjaranapp ganjarkita,10/2/22 17:23
putradann_,ganjaranapp,Directed,2,ganjaranapp ganjarkita,10/2/22 17:23
putradann_,ridwankamil,Directed,1,ganjaranapp ganjarkita,10/2/22 17:23
rochmadsulisti1,ganjarpranowo,Directed,1,,10/2/22 17:24
rochmadsulisti1,aniesbaswedan,Directed,1,,10/2/22 17:24
rochmadsulisti1,kingsbewok,Directed,1,,10/2/22 17:24
afaiz46,pdi_perjuangan,Directed,1,,10/2/22 17:24
afaiz46,ganjarpranowo,Directed,1,,10/2/22 17:24
khamim58660928,ganjarpranowo,Directed,1,,10/2/22 17:24
khamim58660928,aniesbaswedan,Directed,1,,10/2/22 17:24
khamim58660928,heritanjung13,Directed,1,,10/2/22 17:24
enisacantik,ganjarpranowo,Directed,2,ganjaranapp ganjarkita,10/2/22 17:25
enisacantik,ganjaranapp,Directed,2,ganjaranapp ganjarkita,10/2/22 17:25
enisacantik,ridwankamil,Directed,1,ganjaranapp ganjarkita,10/2/22 17:25
avi_koty,pdi_perjuangan,Directed,1,,10/2/22 17:25
avi_koty,ganjarpranowo,Directed,1,,10/2/22 17:25
deadbutterfli3s,pdi_perjuangan,Directed,1,,10/2/22 17:25
deadbutterfli3s,ganjarpranowo,Directed,1,,10/2/22 17:25
sambo_kaisar,hukumdan,Directed,1,,10/2/22 17:25
sambo_kaisar,pdi_perjuangan,Directed,6,,10/2/22 17:26
sambo_kaisar,ganjarpranowo,Directed,6,,10/2/22 17:26
sambo_kaisar,muhalim77,Directed,1,,10/2/22 17:25
sambo_kaisar,_akhir_zaman_,Directed,1,,10/2/22 17:25
sambo_kaisar,herigatot5,Directed,1,,10/2/22 17:25
