Id,indegree,outdegree,modularity_class,eigencentrality,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,pageranks
3kowel,0,3,1,0,1,1,1,0,0.000291
syahirularif,1,0,1,0.000674,0,0,0,0,0.000373
ganjarpranowo,1458,0,0,1,0,0,0,0,0.175455
wagimandeep212_,24,0,1,0.016319,0,0,0,0,0.002971
tjahjowidianto2,0,3,3,0,1,1,1,0,0.000291
aniesbaswedan,265,0,3,0.181535,0,0,0,0,0.020963
kingsbewok,193,0,3,0.130113,0,0,0,0,0.015946
onidswahyudin,0,2,2,0,1,1,1,0,0.000291
pdi_perjuangan,828,0,2,0.56437,0,0,0,0,0.090634
fed4123fdf5d44a,0,3,3,0,1,1,1,0,0.000291
si73edy,0,2,2,0,1,1,1,0,0.000291
gustjahsaja,0,3,31,0,1,1,1,0,0.000291
firlibahuri,36,0,31,0.02427,0,0,0,0,0.003151
kpk_ri,37,0,31,0.024944,0,0,0,0,0.003192
yosnggarang,36,0,31,0.02427,0,0,0,0,0.003151
azkanih7,0,3,63,0,1,1,1,0,0.000291
ganjaranapp,24,0,63,0.01618,0,0,0,0,0.002518
ridwankamil,19,0,63,0.012809,0,0,0,0,0.001803
azkafalah,0,1,0,0,1,1,1,0,0.000291
a_subaidi84,0,3,3,0,1,1,1,0,0.000291
crennatanada1,0,2,2,0,1,1,1,0,0.000291
liechaikha_yoza,0,3,2,0,1,1,1,0,0.000291
hendrachmanaa,1,0,2,0.000674,0,0,0,0,0.000373
shtclaudine,0,2,2,0,1,1,1,0,0.000291
cantikbgtamin,0,3,2,0,1,1,1,0,0.000291
_akhir_zaman_,31,0,2,0.020899,0,0,0,0,0.002623
agensosishandil,0,3,2,0,1,1,1,0,0.000291
muhalim77,18,0,2,0.012135,0,0,0,0,0.001419
rizkyy6969,0,3,63,0,1,1,1,0,0.000291
bukankaummuna,0,1,3,0,1,1,1,0,0.000291
heritanjung13,89,0,3,0.060528,0,0,0,0,0.01233
fmkbr1,0,2,2,0,1,1,1,0,0.000291
cumaiiseng,0,4,37,0,5,0.302521,0.382407,0,0.000291
herrysuryya,21,7,37,0.016075,4,0.4,0.504902,346.5,0.001389
deydeychristina,3,0,37,0.002022,0,0,0,0,0.000476
zyreg2,0,3,2,0,1,1,1,0,0.000291
buk4n_pej4b4t,0,3,3,0,1,1,1,0,0.000291
cakdar06797616,0,3,3,0,1,1,1,0,0.000291
aidaerza,0,3,63,0,1,1,1,0,0.000291
yudhis__88,0,4,3,0,1,1,1,0,0.000291
fanta_junaidi,1,0,3,0.000674,0,0,0,0,0.000353
shareandlock1,0,3,4,0,1,1,1,0,0.000291
aleurbbygurl,1,0,4,0.000674,0,0,0,0,0.000373
ronievillie,0,2,2,0,1,1,1,0,0.000291
mahes190919,0,5,0,0,2,0.857143,0.916667,0,0.000291
milaajmilaaj1,1,0,0,0.000674,0,0,0,0,0.00034
kadrunbinpekok,8,1,0,0.005393,1,1,1,8,0.000677
heryidris5,8,0,0,0.005393,0,0,0,0,0.000677
sandrarahman12,0,3,63,0,1,1,1,0,0.000291
berryajaaa70,0,2,2,0,1,1,1,0,0.000291
buruh_kecil,0,2,0,0,1,1,1,0,0.000291
eddibrokoli,2,1,0,0.001348,1,1,1,0,0.000538
muazak3,0,2,2,0,1,1,1,0,0.000291
danudimulyo,0,4,5,0,1,1,1,0,0.000291
achzam_prabu,2,0,5,0.001348,0,0,0,0,0.000415
ringo15pansa,2,0,5,0.001348,0,0,0,0,0.000415
suryadihyoiiiii,0,3,3,0,1,1,1,0,0.000291
ntar_yaa,0,2,2,0,1,1,1,0,0.000291
semar17134178,0,4,5,0,1,1,1,0,0.000291
raihanterus,0,3,63,0,1,1,1,0,0.000291
sutannadenggan,0,3,3,0,1,1,1,0,0.000291
mhmmdrifqiakbar,0,2,2,0,1,1,1,0,0.000291
kharisma_dwi_l,0,3,2,0,2,0.588235,0.65,0,0.000291
marsudi__,11,9,2,0.008193,1,1,1,197,0.001366
alba89msmugi,0,1,0,0,1,1,1,0,0.000291
rizavaldi,0,3,63,0,1,1,1,0,0.000291
ristan80,0,3,3,0,1,1,1,0,0.000291
mangkukna4,1,3,0,0.000721,1,1,1,0,0.000406
mankjj1,1,3,0,0.000721,1,1,1,0,0.000406
prabukerta,0,2,2,0,1,1,1,0,0.000291
artar76699729,0,4,0,0,2,0.833333,0.9,0,0.000291
azizalhanafi,0,1,0,0,1,1,1,0,0.000291
moel_79,0,2,2,0,1,1,1,0,0.000291
namitamaki8,0,2,2,0,1,1,1,0,0.000291
gday_adi,0,2,2,0,1,1,1,0,0.000291
yhnwa,0,1,0,0,1,1,1,0,0.000291
suciptoditoyah2,0,2,12,0,2,0.75,0.833333,0,0.000291
lembayung071,22,2,12,0.014972,1,1,1,49,0.003168
kobou17,0,2,2,0,1,1,1,0,0.000291
sahabat06040072,0,2,0,0,1,1,1,0,0.000291
flowerbean83,0,3,63,0,1,1,1,0,0.000291
xchsn_,0,2,0,0,1,1,1,0,0.000291
glondong_j,0,3,6,0,1,1,1,0,0.000291
joechristy27,3,0,6,0.002022,0,0,0,0,0.000518
nadnidnud13,0,2,63,0,1,1,1,0,0.000291
masaji52009083,0,1,0,0,1,1,1,0,0.000291
met_rahmeet,0,2,0,0,1,1,1,0,0.000291
putradann_,0,3,63,0,1,1,1,0,0.000291
rochmadsulisti1,0,3,3,0,1,1,1,0,0.000291
afaiz46,0,2,0,0,1,1,1,0,0.000291
khamim58660928,0,3,3,0,1,1,1,0,0.000291
enisacantik,0,3,63,0,1,1,1,0,0.000291
avi_koty,0,2,0,0,1,1,1,0,0.000291
deadbutterfli3s,0,2,0,0,1,1,1,0,0.000291
sambo_kaisar,0,8,0,0,5,0.325203,0.444167,0,0.000291
hukumdan,1,0,0,0.000674,0,0,0,0,0.000322
herigatot5,2,0,0,0.001348,0,0,0,0,0.000342
daniswara02,3,0,2,0.002022,0,0,0,0,0.000445
usmaa39634688,0,2,2,0,1,1,1,0,0.000291
m3120n3,0,1,7,0,1,1,1,0,0.000291
radityass,1,0,7,0.000674,0,0,0,0,0.000538
joncyjonacta,0,2,0,0,1,1,1,0,0.000291
wongkedu__,3,0,0,0.002068,0,0,0,0,0.000573
sukarnama,0,3,3,0,1,1,1,0,0.000291
alamstwn,0,2,2,0,1,1,1,0,0.000291
wawasakti,0,3,0,0,1,1,1,0,0.000291
wantahgdn__,4,0,0,0.002791,0,0,0,0,0.000572
mengbuahi,0,2,2,0,1,1,1,0,0.000291
kesittt,0,1,0,0,1,1,1,0,0.000291
ajoarisikumbang,0,4,2,0,1,1,1,0,0.000291
getih_gen1,1,0,2,0.000674,0,0,0,0,0.000353
jetsilvers,1,0,2,0.000674,0,0,0,0,0.000353
labibkhadaffi,0,3,3,0,1,1,1,0,0.000291
thariqsahfyaz,0,2,2,0,1,1,1,0,0.000291
mrsamron23,0,2,1,0,1,1,1,0,0.000291
yanna_disiac,0,2,2,0,1,1,1,0,0.000291
albertorobet,0,3,63,0,1,1,1,0,0.000291
azizbuitenzorg,0,4,3,0,1,1,1,0,0.000291
mamang_opik,3,0,3,0.002022,0,0,0,0,0.000476
fajrarmy_,0,2,0,0,1,1,1,0,0.000291
wulandahokimoto,0,2,2,0,1,1,1,0,0.000291
mfalfath,0,4,2,0,1,1,1,0,0.000291
jhsinurat,19,0,2,0.013306,0,0,0,0,0.001504
turisno24846445,24,0,2,0.016467,0,0,0,0,0.001825
acungdarsono,0,1,0,0,1,1,1,0,0.000291
ariefalmaulana,0,3,3,0,1,1,1,0,0.000291
perwira_setyo,0,2,2,0,1,1,1,0,0.000291
aryaasangkan,0,2,2,0,1,1,1,0,0.000291
trijuniarto87,0,5,8,0,1,1,1,0,0.000291
nanakrisdian,1,0,8,0.000674,0,0,0,0,0.00034
puanmaharani_ri,21,0,8,0.014312,0,0,0,0,0.001708
irvanbadru,2,0,8,0.001348,0,0,0,0,0.000363
arkamchaniago,0,3,3,0,1,1,1,0,0.000291
nuhazr27,0,2,0,0,1,1,1,0,0.000291
alijalal666,0,3,3,0,1,1,1,0,0.000291
sol39446915,0,2,0,0,1,1,1,0,0.000291
jayanegara_5555,0,1,3,0,1,1,1,0,0.000291
rudi44773351,0,2,0,0,1,1,1,0,0.000291
aaabengganteng,0,3,3,0,1,1,1,0,0.000291
azir08845903,0,1,0,0,1,1,1,0,0.000291
faldiagnia2,0,3,31,0,1,1,1,0,0.000291
rinijus14,0,2,0,0,1,1,1,0,0.000291
essmil00,0,2,0,0,1,1,1,0,0.000291
arieftata01,0,3,3,0,1,1,1,0,0.000291
dongodungu,0,1,3,0,1,1,1,0,0.000291
bagaspati168,0,1,0,0,1,1,1,0,0.000291
ade_item88,0,3,3,0,1,1,1,0,0.000291
rframadhani5,0,2,0,0,1,1,1,0,0.000291
alfiani24765776,0,1,0,0,1,1,1,0,0.000291
batukepla,0,1,9,0,1,1,1,0,0.000291
musniumar,1,0,9,0.000674,0,0,0,0,0.000538
applesite1969,0,2,0,0,1,1,1,0,0.000291
feryy12343,0,2,12,0,2,0.75,0.833333,0,0.000291
yganggur,0,2,10,0,1,1,1,0,0.000291
chusnulch__,82,0,10,0.057155,0,0,0,0,0.008357
bagindo47562689,0,5,31,0,1,1,1,0,0.000291
uki23,5,0,31,0.003371,0,0,0,0,0.000508
ferrykoto,5,0,31,0.003371,0,0,0,0,0.000508
mayonghill,0,2,0,0,1,1,1,0,0.000291
laxusralenion,0,1,0,0,1,1,1,0,0.000291
hendral48409398,0,3,3,0,1,1,1,0,0.000291
hendridaok2000,0,3,2,0,1,1,1,0,0.000291
nurhardiwibowo1,14,0,2,0.00989,0,0,0,0,0.001244
