Source,Target,Type,Weight,hashtags in tweet,tweet date (utc)
dawiguna,puanmaharani_ri,Directed,1,,10/1/22 14:58
dawiguna,chusnulch__,Directed,1,,10/1/22 14:58
cucu_kenarok99,puanmaharani_ri,Directed,1,,10/1/22 14:58
cucu_kenarok99,chusnulch__,Directed,1,,10/1/22 14:58
gino818,muchsin_dwi,Directed,1,,10/1/22 15:00
gino818,puanmaharani_ri,Directed,1,,10/1/22 15:00
koabuy321,farrel27,Directed,1,,10/1/22 15:03
koabuy321,d_n4bil5,Directed,1,,10/1/22 15:03
koabuy321,delardian_,Directed,1,,10/1/22 15:03
koabuy321,urrangawak,Directed,1,,10/1/22 15:03
koabuy321,chusnulch__,Directed,1,,10/1/22 15:03
koabuy321,03__nakula,Directed,1,,10/1/22 15:03
koabuy321,ganjarpranowo,Directed,1,,10/1/22 15:03
koabuy321,puanmaharani_ri,Directed,1,,10/1/22 15:03
koabuy321,aryprasetyo85,Directed,1,,10/1/22 15:03
khairulafif25,puanmaharani_ri,Directed,1,,10/1/22 15:04
nadhif_vaa,puanmaharani_ri,Directed,1,,10/1/22 15:04
nadhif_vaa,chusnulch__,Directed,1,,10/1/22 15:04
djafartamtama,puanmaharani_ri,Directed,1,,10/1/22 15:04
djafartamtama,chusnulch__,Directed,1,,10/1/22 15:04
prodbygopin,puanmaharani_ri,Directed,1,,10/1/22 15:05
jpaise,puanmaharani_ri,Directed,1,,10/1/22 15:08
jpaise,kakakeyo,Directed,1,,10/1/22 15:08
alfian_ilzam,puanmaharani_ri,Directed,1,,10/1/22 15:09
cryptoholderrrr,puanmaharani_ri,Directed,1,,10/1/22 15:10
harisdjauhari,puanmaharani_ri,Directed,1,,10/1/22 15:10
harisdjauhari,chusnulch__,Directed,1,,10/1/22 15:10
lizalarilari,puanmaharani_ri,Directed,1,,10/1/22 15:16
lizalarilari,pai_c1ab,Directed,1,,10/1/22 15:16
lizalarilari,simbokesarah,Directed,1,,10/1/22 15:16
nofandi15,puanmaharani_ri,Directed,1,,10/1/22 15:17
d4d4nglh,puannews,Directed,1,,10/1/22 15:18
d4d4nglh,pdi_perjuangan,Directed,1,,10/1/22 15:18
d4d4nglh,ganjarpranowo,Directed,1,,10/1/22 15:18
d4d4nglh,puanmaharani_ri,Directed,1,,10/1/22 15:18
d4d4nglh,putri_aalona,Directed,1,,10/1/22 15:18
randuwatangan,puanmahara,Directed,1,,10/1/22 15:19
randuwatangan,aryprasetyo85,Directed,1,,10/1/22 15:19
n4byl5,ganjarpranowo,Directed,1,,10/1/22 14:56
n4byl5,pdi_perjuangan,Directed,2,,10/1/22 15:21
n4byl5,puanmaharani_ri,Directed,2,,10/1/22 15:21
n4byl5,def1only,Directed,2,,10/1/22 15:21
n4byl5,jokowi,Directed,1,,10/1/22 15:21
petromaks21,puanmaharani_ri,Directed,1,,10/1/22 15:21
petromaks21,chusnulch__,Directed,1,,10/1/22 15:21
_anotha1,riyadioyad,Directed,1,indonesia,10/1/22 15:23
sultan00674771,bantalantidungu,Directed,1,,10/1/22 15:17
sultan00674771,dimasajuansyah,Directed,1,,10/1/22 15:17
sultan00674771,puanmaharani_ri,Directed,2,,10/1/22 15:24
sultan00674771,chusnulch__,Directed,2,,10/1/22 15:24
biusmalam,prabowo,Directed,1,,10/1/22 15:26
biusmalam,mohmahfudmd,Directed,1,,10/1/22 15:26
lttldrkness,puanmaharani_ri,Directed,1,,10/1/22 15:14
lttldrkness,wisnumrb_,Directed,1,,10/1/22 15:14
wisnumrb_,lttldrkness,Directed,1,,10/1/22 15:29
wisnumrb_,puanmaharani_ri,Directed,1,,10/1/22 15:29
bug9991,puanmaharani_ri,Directed,1,,10/1/22 15:29
idris56850511,puanmaharani_ri,Directed,1,,10/1/22 15:30
vkvrly,puanmaharani_ri,Directed,1,,10/1/22 15:33
vkvrly,duniakuli,Directed,1,,10/1/22 15:33
6666irfan,renatalevel42,Directed,2,,10/1/22 15:33
6666irfan,frank21blue,Directed,1,,10/1/22 15:33
