Id,indegree,outdegree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class,pageranks,eigencentrality
dawiguna,0,2,1,1,1,0,1,0.00018,0
puanmaharani_ri,926,1,0,0,0,0,0,0.08935,1
chusnulch__,144,0,0,0,0,0,1,0.010385,0.133732
cucu_kenarok99,0,2,1,1,1,0,1,0.00018,0
gino818,0,2,1,1,1,0,0,0.00018,0
muchsin_dwi,1,0,0,0,0,0,0,0.000258,0.000913
koabuy321,0,9,4,0.515152,0.691176,0,3,0.00018,0
farrel27,4,0,0,0,0,0,3,0.000249,0.003654
d_n4bil5,5,2,3,0.526316,0.583333,32,3,0.000284,0.005073
delardian_,4,0,0,0,0,0,3,0.000249,0.003654
urrangawak,4,0,0,0,0,0,3,0.000249,0.003654
03__nakula,4,0,0,0,0,0,3,0.000249,0.003654
ganjarpranowo,108,0,0,0,0,0,3,0.005093,0.102229
aryprasetyo85,12,0,0,0,0,0,3,0.000726,0.010961
khairulafif25,0,1,1,1,1,0,0,0.00018,0
nadhif_vaa,0,2,1,1,1,0,1,0.00018,0
djafartamtama,0,2,1,1,1,0,1,0.00018,0
prodbygopin,0,1,1,1,1,0,0,0.00018,0
jpaise,0,2,2,0.538462,0.571429,0,0,0.00018,0
kakakeyo,20,13,1,1,1,236,0,0.002744,0.020912
alfian_ilzam,0,1,1,1,1,0,0,0.00018,0
cryptoholderrrr,0,1,1,1,1,0,0,0.00018,0
harisdjauhari,0,2,1,1,1,0,1,0.00018,0
lizalarilari,0,3,1,1,1,0,2,0.00018,0
pai_c1ab,13,0,0,0,0,0,2,0.000912,0.011875
simbokesarah,5,0,0,0,0,0,2,0.000412,0.004567
nofandi15,0,1,1,1,1,0,0,0.00018,0
d4d4nglh,0,5,1,1,1,0,0,0.00018,0
puannews,2,2,1,1,1,0,0,0.000211,0.002016
pdi_perjuangan,87,0,0,0,0,0,3,0.004318,0.08202
putri_aalona,3,0,0,0,0,0,3,0.000314,0.00274
randuwatangan,0,2,1,1,1,0,3,0.00018,0
puanmahara,2,0,0,0,0,0,3,0.000335,0.001827
n4byl5,0,5,3,0.611111,0.712121,0,0,0.00018,0
def1only,5,10,2,0.909091,0.95,52,0,0.000411,0.005772
jokowi,99,0,0,0,0,0,4,0.006062,0.113284
petromaks21,0,2,1,1,1,0,1,0.00018,0
_anotha1,0,1,1,1,1,0,5,0.00018,0
riyadioyad,1,0,0,0,0,0,5,0.000335,0.000913
sultan00674771,0,4,1,1,1,0,1,0.00018,0
bantalantidungu,1,0,0,0,0,0,1,0.000219,0.000913
dimasajuansyah,1,0,0,0,0,0,1,0.000219,0.000913
biusmalam,0,2,1,1,1,0,47,0.00018,0
prabowo,15,0,0,0,0,0,4,0.000618,0.014789
mohmahfudmd,11,0,0,0,0,0,47,0.000598,0.010142
lttldrkness,1,2,1,1,1,0,0,0.000317,0.001008
wisnumrb_,1,2,1,1,1,0,0,0.000317,0.001008
bug9991,0,1,1,1,1,0,0,0.00018,0
idris56850511,0,1,1,1,1,0,0,0.00018,0
vkvrly,0,2,1,1,1,0,0,0.00018,0
duniakuli,3,0,0,0,0,0,0,0.000386,0.00274
6666irfan,0,6,1,1,1,0,13,0.00018,0
renatalevel42,1,0,0,0,0,0,13,0.000206,0.000913
frank21blue,1,0,0,0,0,0,13,0.000206,0.000913
budimandjatmiko,4,0,0,0,0,0,13,0.000308,0.003654
66hasto,3,0,0,0,0,0,13,0.000264,0.00274
robbitooo,0,2,1,1,1,0,2,0.00018,0
eyeofjust,0,2,2,0.538462,0.571429,0,0,0.00018,0
adekoedin,0,3,2,0.56,0.607143,0,0,0.00018,0
estersusiani2,2,2,2,0.541667,0.576923,0,0,0.000412,0.003733
zeinvey,0,2,1,1,1,0,1,0.00018,0
perantaubahagia,0,4,1,1,1,0,3,0.00018,0
jokoci,1,0,0,0,0,0,3,0.000219,0.000913
123carvelo,0,2,1,1,1,0,1,0.00018,0
esatria301,0,5,2,0.6,0.666667,0,3,0.00018,0
listyosigitp,66,0,0,0,0,0,4,0.005047,0.082157
kejaksaanri,2,0,0,0,0,0,3,0.000228,0.001827
firlibahuri,4,0,0,0,0,0,3,0.000287,0.003744
kpk_ri,13,0,0,0,0,0,3,0.000553,0.011875
kaltimkarim,1,12,1,1,1,10,3,0.000211,0.000913
xdim999,0,3,1,1,1,0,3,0.00018,0
zaryabelange,1,0,0,0,0,0,3,0.000232,0.000913
aniesbaswedan,15,0,0,0,0,0,3,0.000917,0.014259
rudianwar6,0,2,1,1,1,0,0,0.00018,0
silverston13,0,1,1,1,1,0,0,0.00018,0
bale_dempo,0,2,1,1,1,0,1,0.00018,0
bantengmualaf,0,2,1,1,1,0,1,0.00018,0
jhundrizal,0,1,1,1,1,0,0,0.00018,0
bacautas,1,1,3,0.365854,0.4,0,0,0.000309,0.001008
idey69881575,1,3,2,0.555556,0.6,14,0,0.000449,0.001008
pamor_suryadi,0,2,1,1,1,0,1,0.00018,0
hukumatikoruptr,0,2,1,1,1,0,1,0.00018,0
titisramanda,0,3,1,1,1,0,3,0.00018,0
ga,4,0,0,0,0,0,3,0.000386,0.003654
argotopia,0,1,1,1,1,0,0,0.00018,0
chydrrn,0,3,1,1,1,0,6,0.00018,0
komediretjeh,1,0,0,0,0,0,6,0.000232,0.000913
mielidiasin,1,0,0,0,0,0,6,0.000232,0.000913
mr_cosanostra,0,3,1,1,1,0,0,0.00018,0
gilangnaveed,1,0,0,0,0,0,0,0.000232,0.000913
gumilar86230032,1,0,0,0,0,0,0,0.000232,0.000913
pshurama,0,2,1,1,1,0,1,0.00018,0
aarift,0,2,1,1,1,0,0,0.00018,0
_bayusapta,1,0,0,0,0,0,0,0.000258,0.000913
gianvillac,0,2,1,1,1,0,0,0.00018,0
indahle00703625,2,1,1,1,1,0,0,0.00028,0.001827
muhsujarw4,0,1,1,1,1,0,0,0.00018,0
nadhiskies,1,3,1,1,1,0,7,0.000253,0.001008
convomf,2,0,0,0,0,0,7,0.000325,0.002016
ipv_rd,1,3,1,1,1,0,7,0.000253,0.001008
g336387,0,7,1,1,1,0,4,0.00018,0
joeliani79,2,0,0,0,0,0,4,0.000241,0.001827
f_fathur,2,0,0,0,0,0,4,0.000241,0.001827
goenahmad,4,4,1,1,1,2,4,0.00028,0.004031
bagusss60342745,0,2,1,1,1,0,0,0.00018,0
pdipsolid,1,0,0,0,0,0,0,0.000258,0.000913
bintangnickson,0,5,1,1,1,0,2,0.00018,0
fpdip_jakarta,1,0,0,0,0,0,2,0.000211,0.000913
yunartowijaya,9,0,0,0,0,0,12,0.000395,0.008944
selenepurple,0,3,1,1,1,0,3,0.00018,0
urnightmareboys,1,0,0,0,0,0,3,0.000232,0.000913
speedl0v3r,0,2,1,1,1,0,1,0.00018,0
yakannnd,0,1,1,1,1,0,0,0.00018,0
adherie_zs,0,8,1,1,1,0,4,0.00018,0
bambangsoesatyo,1,0,0,0,0,0,4,0.0002,0.000913
aimanwitjaksono,1,0,0,0,0,0,4,0.0002,0.000913
knpi_id,1,0,0,0,0,0,4,0.0002,0.000913
abu_waras,2,0,0,0,0,0,0,0.000277,0.001827
garudawisnu11,1,6,2,0.714286,0.8,8,0,0.000216,0.001419
ccicpolri,1,0,0,0,0,0,0,0.000211,0.001027
simplemamin,0,2,1,1,1,0,0,0.00018,0
kostumkomik,2,0,0,0,0,0,0,0.000309,0.001827
kosimatkasah,0,2,1,1,1,0,1,0.00018,0
kurakurabatu79,0,2,1,1,1,0,0,0.00018,0
pejuangpuan,134,1,1,1,1,0,8,0.0083,0.1224
girlsecret_0,0,3,1,1,1,0,8,0.00018,0
puangarislucu,84,1,1,1,1,1,8,0.004511,0.076728
wnovi671,0,1,1,1,1,0,0,0.00018,0
gindoduri,0,1,1,1,1,0,9,0.00018,0
naollivia,3,0,0,0,0,0,9,0.000644,0.00274
yunardi_pito,0,2,1,1,1,0,1,0.00018,0
penggunapergi,0,2,1,1,1,0,0,0.00018,0
karsono12732862,1,3,1,1,1,0,1,0.000253,0.001008
nembenetes,1,3,1,1,1,0,1,0.000253,0.001008
yuliez85,0,2,1,1,1,0,1,0.00018,0
maskhum1,0,3,1,1,1,0,1,0.00018,0
endriyanson,3,0,0,0,0,0,1,0.000301,0.00274
anaksungsang,0,4,1,1,1,0,2,0.00018,0
retnosetyow4t,1,0,0,0,0,0,2,0.000219,0.000913
halimmubarok6,0,3,1,1,1,0,8,0.00018,0
dha_marquez,0,3,1,1,1,0,8,0.00018,0
sudrun184598182,0,2,1,1,1,0,1,0.00018,0
edikemput,0,3,1,1,1,0,0,0.00018,0
siregar_najeges,1,0,0,0,0,0,0,0.000232,0.000913
mangdjanabdg,1,1,1,1,1,0,0,0.000232,0.000913
darauroraa,0,3,1,1,1,0,8,0.00018,0
nosferatu251177,0,1,1,1,1,0,0,0.00018,0
officialhas,0,2,1,1,1,0,1,0.00018,0
anthonnyrajagu1,0,2,1,1,1,0,1,0.00018,0
susantisyafa,0,2,1,1,1,0,4,0.00018,0
2smart4u4ever,0,2,1,1,1,0,1,0.00018,0
amayudiawan,1,1,0,0,0,0,10,0.00018,0.001008
kak_rafly,1,1,0,0,0,0,11,0.00018,0.001008
heri_rhp,0,1,1,1,1,0,0,0.00018,0
atmosferjahanam,0,2,1,1,1,0,1,0.00018,0
arjuna16sp,0,7,1,1,1,0,12,0.00018,0
situngkirtumpal,1,0,0,0,0,0,12,0.000202,0.000913
emhas,1,0,0,0,0,0,12,0.000202,0.000913
dikikur69671043,1,0,0,0,0,0,12,0.000202,0.000913
dpp_pkb,7,0,0,0,0,0,12,0.00039,0.006394
cakiminow,17,0,0,0,0,0,12,0.000639,0.016251
rizkyhsiregar82,3,0,0,0,0,0,12,0.00028,0.00274
sword_way,0,3,1,1,1,0,13,0.00018,0
kafiradikalis,1,0,0,0,0,0,13,0.000232,0.000913
gilangbrian14,0,2,1,1,1,0,0,0.00018,0
melaniesubono,1,0,0,0,0,0,0,0.000258,0.000913
ciplukan06,0,9,1,1,1,0,47,0.00018,0
matanajwa,1,0,0,0,0,0,47,0.000197,0.000913
tvonenews,1,0,0,0,0,0,47,0.000197,0.000913
an_kiiim,1,0,0,0,0,0,47,0.000197,0.000913
ky46w1,1,0,0,0,0,0,47,0.000197,0.000913
biroe_langite,1,0,0,0,0,0,47,0.000197,0.000913
cnnindonesia,2,0,0,0,0,0,47,0.000352,0.001827
victor887481741,0,2,1,1,1,0,2,0.00018,0
ariskurniaa14,0,1,1,1,1,0,0,0.00018,0
alfatiafajar,0,2,1,1,1,0,1,0.00018,0
torowanseno,0,2,1,1,1,0,2,0.00018,0
mabokjamban,0,1,1,1,1,0,0,0.00018,0
satriabrc,0,2,1,1,1,0,1,0.00018,0
swandana1,0,4,1,1,1,0,12,0.00018,0
hermanpanca07,1,4,4,0.421053,0.53125,0,1,0.000216,0.001003
laseapoyhbb,3,5,3,0.565217,0.666667,36,1,0.000294,0.002924
luckyludjainat1,3,0,0,0,0,0,1,0.000294,0.002924
mercedese320n,1,5,4,0.435897,0.558824,1,1,0.000211,0.000913
susy_hrpuspita,0,2,1,1,1,0,3,0.00018,0
fitrayanif,0,7,1,1,1,0,4,0.00018,0
luhut_binsar,1,0,0,0,0,0,4,0.000202,0.000913
coachaddie_off,1,0,0,0,0,0,4,0.000202,0.000913
sandiuno,4,0,0,0,0,0,4,0.000251,0.003654
erickthohir,4,0,0,0,0,0,4,0.000273,0.003838
kiyai_marufamin,3,0,0,0,0,0,0,0.000289,0.00283
genpi_co,1,1,0,0,0,0,14,0.00018,0.001008
sharpandsharkk,0,2,1,1,1,0,43,0.00018,0
kr1t1kp3d45_pro,3,0,0,0,0,0,43,0.000332,0.002929
sontojoko,0,2,1,1,1,0,1,0.00018,0
edogawa_syaef,0,2,1,1,1,0,1,0.00018,0
hary_viola,0,9,4,0.515152,0.691176,0,3,0.00018,0
bakoeldaun,0,2,1,1,1,0,1,0.00018,0
ray78f,0,3,1,1,1,0,4,0.00018,0
nicho_silalahi,1,0,0,0,0,0,4,0.000232,0.000913
gue_bukankadrun,0,3,1,1,1,0,15,0.00018,0
novividiant,1,0,0,0,0,0,15,0.000232,0.000913
n_fairus,1,0,0,0,0,0,15,0.000232,0.000913
hm_dermawanzain,0,2,1,1,1,0,4,0.00018,0
dpr_ri,11,0,0,0,0,0,4,0.000567,0.010317
agungjeni,0,2,1,1,1,0,16,0.00018,0
joehans05077820,11,0,0,0,0,0,16,0.00092,0.010048
wtfbhck,0,2,1,1,1,0,4,0.00018,0
divhumas_polri,3,0,0,0,0,0,4,0.000322,0.002835
pssi,61,0,0,0,0,0,4,0.005062,0.076584
purw73,0,2,1,1,1,0,1,0.00018,0
gombyor23,0,1,1,1,1,0,0,0.00018,0
taufiki70348691,0,3,1,1,1,0,0,0.00018,0
inho_la,1,0,0,0,0,0,0,0.000232,0.000913
fattireyz,1,0,0,0,0,0,0,0.000232,0.000913
zainala84393753,0,2,1,1,1,0,1,0.00018,0
loydearitonang,0,2,1,1,1,0,1,0.00018,0
ricoadam9,0,1,1,1,1,0,0,0.00018,0
undefeathuman,0,2,1,1,1,0,0,0.00018,0
nusantaranol,0,4,1,1,1,0,3,0.00018,0
nurul_ghufron,1,0,0,0,0,0,3,0.000219,0.000913
awing_mattammu,0,2,1,1,1,0,8,0.00018,0
rian__az,0,3,2,0.56,0.607143,0,0,0.00018,0
nusantara_one,2,2,2,0.541667,0.576923,0,0,0.000412,0.003733
daniesasmita,0,2,1,1,1,0,1,0.00018,0
ibswteam,1,1,0,0,0,0,17,0.00018,0.001008
jonieddy88,0,4,1,1,1,0,12,0.00018,0
htgpura,0,2,1,1,1,0,1,0.00018,0
wijayantogempar,0,3,1,1,1,0,3,0.00018,0
crbsira,1,0,0,0,0,0,3,0.000232,0.000913
bennywa98883674,0,2,1,1,1,0,16,0.00018,0
kopipantura,1,2,1,1,1,0,0,0.000317,0.001008
kangdickyajah,1,2,1,1,1,0,0,0.000317,0.001008
andyfian76,0,1,1,1,1,0,0,0.00018,0
titusthok,0,5,1,1,1,0,0,0.00018,0
akmalmarhali,1,0,0,0,0,0,0,0.000211,0.000913
tan_mar3m,1,0,0,0,0,0,0,0.000211,0.000913
ariefhi64201710,0,3,1,1,1,0,18,0.00018,0
tita83079013,13,0,0,0,0,0,18,0.001144,0.012966
lisaamartatara4,10,2,1,1,1,0,18,0.000692,0.009318
mu_garislucu,0,2,2,0.538462,0.571429,0,0,0.00018,0
hertantoari,0,3,1,1,1,0,18,0.00018,0
rab_yuli,0,3,1,1,1,0,18,0.00018,0
tribowo38620320,0,4,2,0.75,0.833333,0,4,0.00018,0
deeyaas_,0,3,1,1,1,0,3,0.00018,0
twtgmn,1,0,0,0,0,0,3,0.000232,0.000913
gilanga04097662,1,3,1,1,1,0,18,0.000227,0.001003
warganet1969,1,4,1,1,1,1,18,0.000219,0.000913
arivpermana,0,2,1,1,1,0,1,0.00018,0
oeihanliong,0,1,1,1,1,0,19,0.00018,0
lambe_kribo,1,0,0,0,0,0,19,0.000335,0.000913
j_mustofa,0,2,1,1,1,0,1,0.00018,0
okebogor,0,2,2,0.5625,0.611111,0,0,0.00018,0
emerson_yuntho,1,8,1,1,1,7,12,0.000258,0.000913
lesleylesley131,1,1,0,0,0,0,20,0.00018,0.001008
khong_id,0,1,1,1,1,0,0,0.00018,0
suyanto06083332,0,2,1,1,1,0,3,0.00018,0
aseliname,0,5,1,1,1,0,47,0.00018,0
fahrihamzah,1,0,0,0,0,0,47,0.000211,0.000913
ekowboy2,1,0,0,0,0,0,47,0.000211,0.000913
ingotsitorus1,0,2,1,1,1,0,1,0.00018,0
mutsuyuti,0,3,1,1,1,0,1,0.00018,0
safeguardindo1,1,0,0,0,0,0,1,0.000232,0.000913
fullsun_hana,0,4,1,1,1,0,2,0.00018,0
mbahwg,1,0,0,0,0,0,2,0.000219,0.000913
pria_sun,0,2,1,1,1,0,1,0.00018,0
muh_asse,0,3,1,1,1,0,18,0.00018,0
axkasa,0,2,1,1,1,0,1,0.00018,0
daryadi6519,0,1,1,1,1,0,21,0.00018,0
republikaonline,2,0,0,0,0,0,21,0.00049,0.001827
irmadew45340579,0,9,4,0.515152,0.691176,0,3,0.00018,0
oyok_712,0,1,1,1,1,0,3,0.00018,0
ronavioleta,15,1,0,0,0,0,3,0.001491,0.015117
ponakanelon,0,4,2,0.833333,0.9,0,18,0.00018,0
adememed3,0,4,2,0.625,0.7,0,3,0.00018,0
pdemokrat,3,0,0,0,0,0,3,0.000282,0.00292
peni_asih,2,9,1,1,1,12,3,0.000258,0.001827
latincs,0,1,1,1,1,0,47,0.00018,0
jokoas,0,1,1,1,1,0,3,0.00018,0
virachma_,0,11,1,1,1,0,4,0.00018,0
moh,1,0,0,0,0,0,4,0.000194,0.000913
agusyudhoyono,8,0,0,0,0,0,3,0.000399,0.008044
hary_tanoe,4,0,0,0,0,0,4,0.000258,0.003923
hemasgkr,4,0,0,0,0,0,4,0.000258,0.003923
rajatikamdiy_,4,0,0,0,0,0,4,0.000258,0.003923
ninakarinbg,3,8,1,1,1,2,4,0.000233,0.00274
indrafastable27,0,3,1,1,1,0,3,0.00018,0
dpdri,1,0,0,0,0,0,3,0.000232,0.000913
m45broo_,6,0,0,0,0,0,3,0.000541,0.005481
countrytyp,0,1,1,1,1,0,0,0.00018,0
bang_surya1,0,2,1,1,1,0,1,0.00018,0
herirwidjaja,0,2,1,1,1,0,1,0.00018,0
dheta_dewa,0,8,2,0.9,0.944444,0,4,0.00018,0
